"price.open","price.high","price.low","price.close","volume","price.adjusted","ret.adjusted.prices","price.highLow","price.hype"
3.81,3.913333,3.78,3.913333,31836000,3.095006,0.0173314150345842,0.133333,0.103333
3.853333,3.933333,3.84,3.856666,19153800,3.050188,-0.0144807473717338,0.0933330000000003,0.0800000000000001
3.9,3.973333,3.893333,3.93,16468200,3.108187,0.0190148935082035,0.0799999999999996,0.0733329999999999
3.946666,3.97,3.913333,3.943333,16408800,3.118732,0.00339265301605085,0.056667,0.0233340000000002
3.946666,4.043333,3.926666,4.013333,19975500,3.174094,0.0177514451386012,0.116667,0.0966669999999996
4.006666,4.023333,3.95,3.95,22539300,3.124005,-0.015780566044988,0.0733329999999999,0.016667
4.006666,4.02,3.936666,3.99,13101900,3.155641,0.0101267443554027,0.0833339999999994,0.0133339999999995
3.986666,4.04,3.903333,3.906666,34200300,3.089734,-0.020885455601572,0.136667,0.053334
3.933333,3.95,3.803333,3.82,43453200,3.02119,-0.0221844339998201,0.146667,0.016667
3.806666,3.843333,3.696666,3.753333,45100800,2.968464,-0.0174520635908366,0.146667,0.036667
3.7,3.75,3.656666,3.706666,35189700,2.931556,-0.0124333662122902,0.093334,0.0499999999999998
3.663333,3.683333,3.506666,3.566666,46717200,2.820831,-0.037770044304117,0.176667,0.02
3.536666,3.56,3.39,3.49,42786600,2.760197,-0.0214950842499959,0.17,0.0233340000000002
3.466666,3.49,3.41,3.466666,27953700,2.741743,-0.00668575467620602,0.0800000000000001,0.0233340000000002
3.503333,3.526666,3.326666,3.433333,37733400,2.71538,-0.00961541617868633,0.2,0.023333
3.403333,3.483333,3.383333,3.406666,46884000,2.694289,-0.00776723699813664,0.1,0.0800000000000001
3.436666,3.473333,3.393333,3.423333,26360700,2.707471,0.00489257091574058,0.0799999999999996,0.0366669999999996
3.43,3.493333,3.416666,3.486666,24563400,2.75756,0.0185002904924927,0.0766669999999996,0.0633329999999996
3.45,3.483333,3.4,3.43,17494500,2.712744,-0.016252048912807,0.0833330000000001,0.0333329999999998
3.433333,3.463333,3.383333,3.42,16864500,2.704835,-0.00291549810818847,0.0800000000000001,0.0299999999999998
3.466666,3.47,3.386666,3.41,16104000,2.696926,-0.0029240230919817,0.0833340000000002,0.00333400000000017
3.373333,3.436666,3.31,3.393333,32209200,2.683745,-0.00488741626577816,0.126666,0.0633330000000001
3.4,3.443333,3.356666,3.356666,30026400,2.654745,-0.0108057956325954,0.0866669999999998,0.0433330000000001
3.386666,3.476666,3.373333,3.45,36293700,2.728561,0.0278053071010587,0.103333,0.0899999999999999
3.423333,3.533333,3.4,3.533333,33337800,2.794469,0.0241548567175152,0.133333,0.11
3.416666,3.546666,3.406666,3.496666,60896100,2.765469,-0.0103776424071979,0.14,0.13
3.503333,3.566666,3.42,3.566666,55377900,2.820831,0.0200190275139589,0.146666,0.0633330000000001
3.6,3.686666,3.526666,3.526666,127137000,2.789196,-0.0112147803253723,0.16,0.0866660000000001
3.55,3.553333,3.453333,3.483333,37902600,2.754924,-0.0122874118563199,0.0999999999999996,0.00333300000000003
3.456666,3.63,3.446666,3.576666,49297500,2.82874,0.0267942055751811,0.183334,0.173334
3.526666,3.593333,3.48,3.54,33138000,2.799741,-0.0102515607655704,0.113333,0.0666669999999998
3.56,3.64,3.496666,3.613333,37549800,2.857739,0.0207154876111755,0.143334,0.0800000000000001
3.58,3.583333,3.476666,3.483333,32632500,2.754924,-0.0359777432438722,0.106667,0.00333300000000003
3.223333,3.543333,3.166666,3.5,61450200,2.806443,0.0187006973695099,0.376667,0.32
3.52,3.586666,3.4,3.4,44234100,2.726259,-0.0285713980294627,0.186666,0.0666660000000001
3.486666,3.62,3.46,3.62,54601800,2.902663,0.0647055177075986,0.16,0.133334
3.633333,3.816666,3.623333,3.716666,54679500,2.980174,0.0267034099377019,0.193333,0.183333
3.626666,3.706666,3.606666,3.653333,26428500,2.929391,-0.0170402801984045,0.0999999999999996,0.0799999999999996
3.586666,3.64,3.486666,3.593333,46000800,2.88128,-0.0164235501508675,0.153334,0.053334
3.49,3.53,3.383333,3.45,31644900,2.766351,-0.0398881747001333,0.146667,0.0399999999999996
3.493333,3.51,3.403333,3.473333,27780000,2.785059,0.00676269931039131,0.106667,0.016667
3.51,3.573333,3.39,3.513333,31723500,2.817133,0.0115164526137508,0.183333,0.0633330000000001
3.433333,3.493333,3.36,3.4,38226600,2.726259,-0.0322576179399411,0.133333,0.0599999999999996
3.476666,3.483333,3.393333,3.413333,25979400,2.736949,0.00392112414851264,0.0899999999999999,0.0066670000000002
3.576666,3.623333,3.51,3.543333,55248300,2.841189,0.0380862047484261,0.113333,0.0466670000000002
3.406666,3.6,3.406666,3.6,47466000,2.886626,0.015992248315758,0.193334,0.193334
3.6,3.643333,3.493333,3.553333,29342100,2.849207,-0.0129628846965282,0.15,0.0433330000000001
3.566666,3.736666,3.49,3.68,37881900,2.950773,0.0356471116349215,0.246666,0.17
3.666666,3.833333,3.64,3.8,46962900,3.046994,0.0326087435394049,0.193333,0.166667
